animal,path,size_kb,gpt-4o-mini_result,gpt-4o_result,gpt-4o-mini_elapsed_time,gpt-4o_elapsed_time
lion,./data/animals/animals/lion/9acdf9a504.jpg,318.93,lion,lion,3.857092,3.542649
lion,./data/animals/animals/lion/8ec580597e.jpg,13.95,lion,lion,0.944064,1.785392
lion,./data/animals/animals/lion/1e1b3ea01c.jpg,12.86,lion,lion,1.750047,1.565577
lion,./data/animals/animals/lion/5fb837c61b.jpg,219.35,lion,lion,2.640899,2.845321
lion,./data/animals/animals/lion/33cf8a44c3.jpg,13.4,lion,lion,2.093926,2.275703
lion,./data/animals/animals/lion/30ec7a1f53.jpg,164.5,lion,lion,2.831967,2.862442
lion,./data/animals/animals/lion/5f8df573bf.jpg,8.18,lion,lion,1.51998,1.515089
lion,./data/animals/animals/lion/96a73103e3.jpg,9.45,lion,lion,1.445898,1.317535
lion,./data/animals/animals/lion/182efd137c.jpg,11.63,lion,lion,1.702408,1.759938
lion,./data/animals/animals/lion/49e03e97bf.jpg,252.06,lion,lion,3.871365,3.192708
lion,./data/animals/animals/lion/05d42c9bd8.jpg,137.17,lion,lion,2.755663,2.450666
lion,./data/animals/animals/lion/326ccde052.jpg,271.88,lion,lion,1.85973,3.227076
pelecaniformes,./data/animals/animals/pelecaniformes/79e8c07e72.jpg,19.19,pelecaniformes,pelecaniformes,1.204012,1.521465
pelecaniformes,./data/animals/animals/pelecaniformes/4bf98be411.jpg,107.27,pelecaniformes,pelecaniformes,4.723719,2.971619
pelecaniformes,./data/animals/animals/pelecaniformes/70b7b8492a.jpg,160.03,pelecaniformes,pelecaniformes,1.52429,4.902655
pelecaniformes,./data/animals/animals/pelecaniformes/8a79ddb17d.jpg,7.03,pelecaniformes,pelecaniformes,1.373802,1.134134
pelecaniformes,./data/animals/animals/pelecaniformes/5baebd41c0.jpg,25.21,pelecaniformes,pelecaniformes,1.737134,1.856777
pelecaniformes,./data/animals/animals/pelecaniformes/050c6a029e.jpg,16.22,pelecaniformes,pelecaniformes,1.906907,1.95957
pelecaniformes,./data/animals/animals/pelecaniformes/9f9d0e6597.jpg,13.25,pelecaniformes,pelecaniformes,2.934467,1.91516
pelecaniformes,./data/animals/animals/pelecaniformes/10bab790e6.jpg,9.86,pelecaniformes,pelecaniformes,4.090789,1.692095
pelecaniformes,./data/animals/animals/pelecaniformes/1d976fe005.jpg,16.04,pelecaniformes,pelecaniformes,1.426813,1.625158
pelecaniformes,./data/animals/animals/pelecaniformes/0c2cd57e3d.jpg,151.33,pelecaniformes,pelecaniformes,4.554577,3.508227
pelecaniformes,./data/animals/animals/pelecaniformes/30c2d57d5b.jpg,8.69,pelecaniformes,pelecaniformes,1.025525,1.327039
pelecaniformes,./data/animals/animals/pelecaniformes/4ab93b7296.jpg,19.94,pelecaniformes,pelecaniformes,1.778452,1.259467
pelecaniformes,./data/animals/animals/pelecaniformes/7ad0035fda.jpg,20.18,pelecaniformes,pelecaniformes,1.393429,3.014866
pelecaniformes,./data/animals/animals/pelecaniformes/6e02ea1b65.jpg,13.46,pelecaniformes,pelecaniformes,1.930201,1.331362
pelecaniformes,./data/animals/animals/pelecaniformes/20eaa03e8a.jpg,29.29,pelecaniformes,pelecaniformes,1.398688,1.083209
pelecaniformes,./data/animals/animals/pelecaniformes/60a11377bd.jpg,56.01,pelecaniformes,pelecaniformes,1.807511,2.618305
pelecaniformes,./data/animals/animals/pelecaniformes/6a4b5acd35.jpg,109.6,pelecaniformes,pelecaniformes,2.422695,2.505325
pelecaniformes,./data/animals/animals/pelecaniformes/6cd2c2ad12.jpg,70.66,pelecaniformes,pelecaniformes,2.24325,2.101574
pelecaniformes,./data/animals/animals/pelecaniformes/5e0ff30e62.jpg,8.24,pelecaniformes,pelecaniformes,1.342982,1.259257
pelecaniformes,./data/animals/animals/pelecaniformes/265b628553.jpg,120.68,pelecaniformes,pelecaniformes,1.554247,2.682797
pelecaniformes,./data/animals/animals/pelecaniformes/9fa3a7b469.jpg,310.29,pelecaniformes,pelecaniformes,2.730177,5.158814
pelecaniformes,./data/animals/animals/pelecaniformes/6da5094e7e.jpg,8.05,pelecaniformes,pelecaniformes,1.050724,1.495898
pelecaniformes,./data/animals/animals/pelecaniformes/6dc3195cff.jpg,29.84,pelecaniformes,pelecaniformes,1.191255,1.500358
pelecaniformes,./data/animals/animals/pelecaniformes/0be20469c7.jpg,21.71,pelecaniformes,pelecaniformes,1.947421,1.233644
pelecaniformes,./data/animals/animals/pelecaniformes/16c040e85f.jpg,13.09,pelecaniformes,pelecaniformes,1.275053,1.801354
penguin,./data/animals/animals/penguin/66dd208475.jpg,119.22,penguin,penguin,1.63698,3.068522
penguin,./data/animals/animals/penguin/1f2cddb8ad.jpg,1511.74,penguin,penguin,4.742496,4.527008
penguin,./data/animals/animals/penguin/62d0684ef7.jpg,154.05,penguin,penguin,2.136587,4.500545
penguin,./data/animals/animals/penguin/2defe423b8.jpg,10.22,penguin,penguin,1.231091,1.734796
penguin,./data/animals/animals/penguin/6e117d5c9d.jpg,16.47,penguin,penguin,3.336146,1.41716
penguin,./data/animals/animals/penguin/37ac2d17bd.jpg,87.1,penguin,penguin,2.75303,3.347442
penguin,./data/animals/animals/penguin/2dd4ca6b7e.jpg,12.02,pelecaniformes,penguin,0.948977,1.6132
penguin,./data/animals/animals/penguin/24a39dd3f5.jpg,165.17,penguin,penguin,2.716482,3.426139
penguin,./data/animals/animals/penguin/3a341e64eb.jpg,195.3,penguin,penguin,2.443144,3.684006
penguin,./data/animals/animals/penguin/4e07a672a6.jpg,16.91,penguin,penguin,0.927274,1.647648
penguin,./data/animals/animals/penguin/64ce786719.jpg,580.03,penguin,penguin,3.13625,3.726222
penguin,./data/animals/animals/penguin/53adf9b173.jpg,13.22,penguin,penguin,2.208011,0.976665
penguin,./data/animals/animals/penguin/75ef1a2552.jpg,6.68,penguin,penguin,1.373229,1.64908
penguin,./data/animals/animals/penguin/7a4c8ba397.jpg,76.04,penguin,penguin,2.661187,2.348456
penguin,./data/animals/animals/penguin/69ea30bf8a.jpg,7.48,penguin,penguin,1.319711,2.863176
penguin,./data/animals/animals/penguin/7c99b5a89d.jpg,279.82,penguin,penguin,10.774986,3.372887
penguin,./data/animals/animals/penguin/4df00a0c34.jpg,142.57,penguin,penguin,3.317629,3.261198
penguin,./data/animals/animals/penguin/0b25c7551c.jpg,18.35,penguin,penguin,1.155287,1.155589
penguin,./data/animals/animals/penguin/0b2adf35e0.jpg,10.87,penguin,penguin,1.329816,1.311228
penguin,./data/animals/animals/penguin/8b0ab29ed1.jpg,6.71,penguin,penguin,2.248891,1.768908
penguin,./data/animals/animals/penguin/55b7ad48b2.jpg,31.93,penguin,penguin,2.793964,2.035448
penguin,./data/animals/animals/penguin/233f09788d.jpg,672.95,penguin,penguin,3.836831,4.052633
penguin,./data/animals/animals/penguin/93c2a11901.jpg,107.74,penguin,penguin,2.01467,2.240313
penguin,./data/animals/animals/penguin/20c1a0b5dc.jpg,13.72,penguin,penguin,1.391293,3.70852
penguin,./data/animals/animals/penguin/3cc3579c05.jpg,15.68,penguin,penguin,2.447542,1.924444
seahorse,./data/animals/animals/seahorse/1ef4eeecc7.jpg,18.66,seahorse,seahorse,1.727859,1.342514
seahorse,./data/animals/animals/seahorse/2cd0c57bad.jpg,68.33,seahorse,seahorse,2.074898,2.377449
seahorse,./data/animals/animals/seahorse/4d2d55f4b4.jpg,5.71,seahorse,seahorse,1.636601,1.07784
seahorse,./data/animals/animals/seahorse/0bae7d6a26.jpg,38.94,seahorse,seahorse,1.972546,2.727893
seahorse,./data/animals/animals/seahorse/1d8cf55abe.jpg,9.36,seahorse,seahorse,1.320719,1.803889
seahorse,./data/animals/animals/seahorse/26cd18c9c8.jpg,135.31,seahorse,seahorse,3.329551,2.608387
seahorse,./data/animals/animals/seahorse/52e14761a3.jpg,52.36,seahorse,seahorse,1.673128,1.810673
seahorse,./data/animals/animals/seahorse/1e69a21b7a.jpg,10.19,seahorse,seahorse,1.450047,4.160664
seahorse,./data/animals/animals/seahorse/09e3962314.jpg,7.86,seahorse,seahorse,1.807672,1.42111
seahorse,./data/animals/animals/seahorse/2fbb2c1cf2.jpg,9.51,seahorse,seahorse,1.104555,1.614448
seahorse,./data/animals/animals/seahorse/2bf1ec635e.jpg,10.12,seahorse,seahorse,2.083025,2.405178
seahorse,./data/animals/animals/seahorse/1d808e393e.jpg,11.92,seahorse,seahorse,1.542493,1.461139
seahorse,./data/animals/animals/seahorse/75b5980a34.jpg,52.93,seahorse,seahorse,3.785067,2.502794
seahorse,./data/animals/animals/seahorse/2c41217dae.jpg,19.87,seahorse,seahorse,1.688217,2.0683
seahorse,./data/animals/animals/seahorse/6e4584ee10.jpg,8.81,seahorse,seahorse,1.740042,1.093627
seahorse,./data/animals/animals/seahorse/356affe534.jpg,13.23,seahorse,seahorse,1.620391,1.628999
seahorse,./data/animals/animals/seahorse/3a33409140.jpg,103.39,seahorse,seahorse,2.605822,2.83616
seahorse,./data/animals/animals/seahorse/014ba3288f.jpg,9.67,seahorse,seahorse,1.189867,1.957548
seahorse,./data/animals/animals/seahorse/1e50b6c7eb.jpg,10.99,seahorse,seahorse,1.361834,4.485445
seahorse,./data/animals/animals/seahorse/272c945c0f.jpg,45.08,seahorse,seahorse,1.655162,2.026801
seahorse,./data/animals/animals/seahorse/9ff6ef2f12.jpg,7.24,seahorse,seahorse,1.419797,1.117195
seahorse,./data/animals/animals/seahorse/4b30bbbdba.jpg,9.29,seahorse,seahorse,1.283873,4.230995
seahorse,./data/animals/animals/seahorse/81fc660d0f.jpg,5.65,seahorse,seahorse,2.070418,1.476197
seahorse,./data/animals/animals/seahorse/5ed7e5d71c.jpg,9.5,seahorse,seahorse,1.578972,1.076789
seahorse,./data/animals/animals/seahorse/0a49b5e17d.jpg,7.64,seahorse,seahorse,0.901629,2.010833
kangaroo,./data/animals/animals/kangaroo/152d621919.jpg,78.54,kangaroo,kangaroo,2.322974,1.850419
kangaroo,./data/animals/animals/kangaroo/301d649169.jpg,511.15,kangaroo,kangaroo,4.115771,3.66442
kangaroo,./data/animals/animals/kangaroo/16b501e949.jpg,146.69,kangaroo,kangaroo,2.439467,2.699097
kangaroo,./data/animals/animals/kangaroo/3ecb8f5738.jpg,14.96,kangaroo,kangaroo,1.088626,1.655472
kangaroo,./data/animals/animals/kangaroo/811ff40c85.jpg,203.96,kangaroo,kangaroo,3.092827,3.742498
kangaroo,./data/animals/animals/kangaroo/4cc6403549.jpg,10.38,kangaroo,kangaroo,1.963067,2.185635
kangaroo,./data/animals/animals/kangaroo/6ea7a4d5b0.jpg,12.27,kangaroo,kangaroo,4.949247,1.910123
kangaroo,./data/animals/animals/kangaroo/1c756e14f2.jpg,205.28,kangaroo,kangaroo,3.601026,2.795325
kangaroo,./data/animals/animals/kangaroo/1a14d17c20.jpg,180.3,kangaroo,kangaroo,1.958913,10.76245
kangaroo,./data/animals/animals/kangaroo/1936e5e033.jpg,12.34,kangaroo,kangaroo,2.388963,1.950426
kangaroo,./data/animals/animals/kangaroo/590af7099b.jpg,1617.89,kangaroo,kangaroo,4.715032,5.663105
kangaroo,./data/animals/animals/kangaroo/0587be3d72.jpg,338.73,kangaroo,kangaroo,4.009173,3.657044
kangaroo,./data/animals/animals/kangaroo/0009fc27d9.jpg,15.03,kangaroo,kangaroo,2.629098,1.099214
kangaroo,./data/animals/animals/kangaroo/5f0ae1cf9a.jpg,9.69,kangaroo,kangaroo,1.891913,1.355088
kangaroo,./data/animals/animals/kangaroo/49f5684328.jpg,483.47,kangaroo,kangaroo,4.204891,3.157501
kangaroo,./data/animals/animals/kangaroo/91de0c82cf.jpg,115.51,kangaroo,kangaroo,2.624653,4.215412
kangaroo,./data/animals/animals/kangaroo/76faa056f8.jpg,14.35,kangaroo,kangaroo,1.244123,1.725308
kangaroo,./data/animals/animals/kangaroo/7a6544f486.jpg,10.9,kangaroo,kangaroo,1.800622,1.837856
kangaroo,./data/animals/animals/kangaroo/1770d78476.jpg,303.12,kangaroo,kangaroo,2.264796,3.314618
kangaroo,./data/animals/animals/kangaroo/8b458653a3.jpg,299.96,kangaroo,kangaroo,2.807142,3.240964
kangaroo,./data/animals/animals/kangaroo/7cc3b69b2f.jpg,272.01,kangaroo,kangaroo,6.196161,10.358525
kangaroo,./data/animals/animals/kangaroo/2471d5ccdb.jpg,9.16,kangaroo,kangaroo,1.811848,1.903887
kangaroo,./data/animals/animals/kangaroo/9ca549a19b.jpg,12.43,kangaroo,kangaroo,1.612794,1.877418
kangaroo,./data/animals/animals/kangaroo/4cc76c465f.jpg,9.4,kangaroo,kangaroo,1.200477,1.095088
kangaroo,./data/animals/animals/kangaroo/84b01c06dc.jpg,12.04,kangaroo,kangaroo,1.43603,1.700102
cat,./data/animals/animals/cat/730d6a8791.jpg,329.12,cat,cat,3.236078,2.631676
cat,./data/animals/animals/cat/9d21019336.jpg,10.83,cat,cat,1.735534,1.274454
cat,./data/animals/animals/cat/354bb2acdf.jpg,81.55,cat,cat,2.820766,2.257069
cat,./data/animals/animals/cat/71756f7bd0.jpg,425.83,cat,cat,3.739301,3.486987
cat,./data/animals/animals/cat/0b54dde5f5.jpg,299.3,cat,cat,2.27442,3.155072
cat,./data/animals/animals/cat/9e020b77ac.jpg,8.46,cat,cat,1.134945,1.535984
cat,./data/animals/animals/cat/029c926ce9.jpg,4.67,cat,cat,1.314701,0.978079
cat,./data/animals/animals/cat/72c56919f9.jpg,54.04,cat,cat,1.830707,3.312258
cat,./data/animals/animals/cat/087d293433.jpg,9.8,cat,cat,2.342288,2.668344
cat,./data/animals/animals/cat/2a40de8365.jpg,93.41,cat,cat,2.202451,1.925417
cat,./data/animals/animals/cat/6fe978c917.jpg,18.16,cat,cat,1.836617,1.036773
cat,./data/animals/animals/cat/6a5e9eac29.jpg,32.29,cat,cat,2.370505,1.163203
cat,./data/animals/animals/cat/67dc417509.jpg,6.27,cat,cat,1.694927,0.999805
cat,./data/animals/animals/cat/31ae8d36b6.jpg,117.86,cat,cat,2.827805,3.241664
cat,./data/animals/animals/cat/4815f8dfaa.jpg,122.81,cat,cat,3.128815,3.228176
cat,./data/animals/animals/cat/057e6db146.jpg,7.54,cat,cat,2.131218,1.86014
cat,./data/animals/animals/cat/612c521481.jpg,7.14,cat,cat,1.680109,1.450592
cat,./data/animals/animals/cat/5a5cdbdc6b.jpg,70.91,cat,cat,2.94018,2.419734
cat,./data/animals/animals/cat/0cfaf08fce.jpg,9.71,cat,cat,1.095437,1.774969
cat,./data/animals/animals/cat/3f3a2aaef2.jpg,14.01,cat,cat,2.058176,2.108152
cat,./data/animals/animals/cat/83e8a824a2.jpg,166.03,cat,cat,3.392785,2.837633
cat,./data/animals/animals/cat/124eecb74f.jpg,28.85,cat,cat,2.204383,4.852695
cat,./data/animals/animals/cat/78359cbe21.jpg,6.08,cat,cat,1.457921,1.489845
cat,./data/animals/animals/cat/00357563a7.jpg,95.27,cat,cat,2.891338,2.704836
cat,./data/animals/animals/cat/34fb30ecc5.jpg,8.95,cat,cat,1.943188,2.097528
elephant,./data/animals/animals/elephant/31c31736c6.jpg,15.12,elephant,elephant,1.535578,1.346387
elephant,./data/animals/animals/elephant/23b99fb3bf.jpg,13.7,elephant,elephant,1.648116,1.289825
elephant,./data/animals/animals/elephant/43b74457d1.jpg,195.06,elephant,elephant,3.50418,2.770771
elephant,./data/animals/animals/elephant/70c11aab2e.jpg,115.15,elephant,elephant,1.856087,2.792362
elephant,./data/animals/animals/elephant/66ca05ab12.jpg,21.34,elephant,elephant,1.357524,1.240842
elephant,./data/animals/animals/elephant/6d8a9a8f8f.jpg,14.03,elephant,elephant,1.58061,3.193299
elephant,./data/animals/animals/elephant/9f23f879e5.jpg,167.87,elephant,elephant,2.466437,3.319277
elephant,./data/animals/animals/elephant/0c57e72045.jpg,280.32,elephant,elephant,3.026991,3.309942
elephant,./data/animals/animals/elephant/0f3f8d6a15.jpg,13.45,elephant,elephant,2.228952,1.792352
elephant,./data/animals/animals/elephant/4a291fe31f.jpg,497.35,elephant,elephant,2.986927,2.500659
elephant,./data/animals/animals/elephant/3c9d9b5adf.jpg,185.42,elephant,elephant,3.419772,2.145608
elephant,./data/animals/animals/elephant/8c2d171b9d.jpg,317.1,elephant,elephant,2.378571,2.686277
elephant,./data/animals/animals/elephant/6c28066ea3.jpg,11.9,elephant,elephant,1.487123,2.102398
elephant,./data/animals/animals/elephant/6faa7275fd.jpg,20.01,elephant,elephant,1.716536,2.553694
elephant,./data/animals/animals/elephant/27f0f7f555.jpg,18.62,elephant,elephant,2.031798,1.480219
elephant,./data/animals/animals/elephant/0e81eb0721.jpg,18.0,elephant,elephant,2.44502,1.262517
elephant,./data/animals/animals/elephant/4f76a2f076.jpg,522.95,elephant,elephant,3.233955,3.358711
elephant,./data/animals/animals/elephant/4f7dce13d9.jpg,95.85,elephant,elephant,6.057837,1.759021
elephant,./data/animals/animals/elephant/6ecfd5e88c.jpg,251.31,elephant,elephant,2.523325,3.293291
elephant,./data/animals/animals/elephant/12b9c94601.jpg,797.79,elephant,elephant,3.564933,3.584158
elephant,./data/animals/animals/elephant/10ee8625c0.jpg,100.42,elephant,elephant,3.157245,1.83206
elephant,./data/animals/animals/elephant/24dd5cb3a6.jpg,17.88,elephant,elephant,1.505828,1.760425
elephant,./data/animals/animals/elephant/7ff62f898d.jpg,2066.51,elephant,elephant,4.58247,9.532608
elephant,./data/animals/animals/elephant/3e526579ed.jpg,16.55,elephant,elephant,1.437679,1.474217
elephant,./data/animals/animals/elephant/8d9950ed68.jpg,16.82,elephant,elephant,1.114237,1.847896
